Elevation,Area
0,521.19
100,301.17
200,209.51
300,174.73
400,165.29
500,201.56
600,211.22
700,190.19
800,153.27
900,0.00
1000,116.13
1100,100.25
1200,92.95
1300,51.09
1400,36.49
1500,18.89
1600,12.02
1700,3.65
1800,2.36
1900,0.86
2000,0.21
2100,0.00
2200,0.00
2300,0.00
2400,0.00
2500,0.00
2600,0.00
2700,0.00
2800,0.00
2900,0.00
3000,0.00
3100,0.00
3200,0.00
3300,0.00
3400,0.00
3500,0.00
3600,0.00
3700,0.00
3800,0.00
3900,0.00
4000,0.00
4100,0.00
4200,0.00
4300,0.00
4400,0.00
4500,0.00
4600,0.00
4700,0.00
4800,0.00
4900,0.00
5000,0.00
5100,0.00
5200,0.00
5300,0.00
5400,0.00
5500,0.00
5600,0.00
5700,0.00
5800,0.00
5900,0.00
6000,0.00
6100,0.00
6200,0.00
6300,0.00
6400,0.00
6500,0.00
6600,0.00
6700,0.00
6800,0.00
6900,0.00
