Elevation,Area
0,8827.62
100,6604.18
200,4886.49
300,3141.97
400,1816.23
500,1364.15
600,1011.90
700,721.47
800,550.17
900,0.00
1000,286.14
1100,182.67
1200,142.96
1300,103.90
1400,99.82
1500,78.78
1600,62.25
1700,47.44
1800,34.56
1900,24.90
2000,12.66
2100,8.16
2200,2.36
2300,1.07
2400,0.43
2500,0.00
2600,0.00
2700,0.00
2800,0.00
2900,0.00
3000,0.00
3100,0.00
3200,0.00
3300,0.00
3400,0.00
3500,0.00
3600,0.00
3700,0.00
3800,0.00
3900,0.00
4000,0.00
4100,0.00
4200,0.00
4300,0.00
4400,0.00
4500,0.00
4600,0.00
4700,0.00
4800,0.00
4900,0.00
5000,0.00
5100,0.00
5200,0.00
5300,0.00
5400,0.00
5500,0.00
5600,0.00
5700,0.00
5800,0.00
5900,0.00
6000,0.00
6100,0.00
6200,0.00
6300,0.00
6400,0.00
6500,0.00
6600,0.00
6700,0.00
6800,0.00
6900,0.00
