Elevation,Area
0,3139.60
100,4834.97
200,1829.96
300,674.25
400,458.08
500,461.08
600,434.25
700,466.67
800,490.71
900,0.00
1000,423.09
1100,430.82
1200,373.08
1300,332.08
1400,236.55
1500,176.23
1600,75.77
1700,28.76
1800,12.24
1900,11.81
2000,6.44
2100,1.29
2200,0.21
2300,0.21
2400,0.00
2500,0.00
2600,0.00
2700,0.00
2800,0.00
2900,0.00
3000,0.00
3100,0.00
3200,0.00
3300,0.00
3400,0.00
3500,0.00
3600,0.00
3700,0.00
3800,0.00
3900,0.00
4000,0.00
4100,0.00
4200,0.00
4300,0.00
4400,0.00
4500,0.00
4600,0.00
4700,0.00
4800,0.00
4900,0.00
5000,0.00
5100,0.00
5200,0.00
5300,0.00
5400,0.00
5500,0.00
5600,0.00
5700,0.00
5800,0.00
5900,0.00
6000,0.00
6100,0.00
6200,0.00
6300,0.00
6400,0.00
6500,0.00
6600,0.00
6700,0.00
6800,0.00
6900,0.00
