Elevation,Area
0,874.95
100,437.69
200,387.03
300,317.05
400,337.66
500,379.30
600,399.48
700,423.74
800,457.01
900,0.00
1000,376.72
1100,274.55
1200,227.54
1300,182.89
1400,134.59
1500,111.41
1600,76.42
1700,50.44
1800,26.19
1900,15.24
2000,4.72
2100,3.22
2200,1.29
2300,0.64
2400,0.43
2500,0.00
2600,0.00
2700,0.00
2800,0.00
2900,0.00
3000,0.00
3100,0.00
3200,0.00
3300,0.00
3400,0.00
3500,0.00
3600,0.00
3700,0.00
3800,0.00
3900,0.00
4000,0.00
4100,0.00
4200,0.00
4300,0.00
4400,0.00
4500,0.00
4600,0.00
4700,0.00
4800,0.00
4900,0.00
5000,0.00
5100,0.00
5200,0.00
5300,0.00
5400,0.00
5500,0.00
5600,0.00
5700,0.00
5800,0.00
5900,0.00
6000,0.00
6100,0.00
6200,0.00
6300,0.00
6400,0.00
6500,0.00
6600,0.00
6700,0.00
6800,0.00
6900,0.00
