Elevation,Area
0,109.91
100,116.56
200,157.34
300,157.56
400,147.69
500,150.69
600,175.16
700,186.97
800,203.28
900,0.00
1000,214.44
1100,242.35
1200,243.21
1300,213.37
1400,183.32
1500,135.24
1600,98.74
1700,64.83
1800,45.08
1900,21.68
2000,7.73
2100,0.86
2200,0.64
2300,0.21
2400,0.00
2500,0.00
2600,0.00
2700,0.00
2800,0.00
2900,0.00
3000,0.00
3100,0.00
3200,0.00
3300,0.00
3400,0.00
3500,0.00
3600,0.00
3700,0.00
3800,0.00
3900,0.00
4000,0.00
4100,0.00
4200,0.00
4300,0.00
4400,0.00
4500,0.00
4600,0.00
4700,0.00
4800,0.00
4900,0.00
5000,0.00
5100,0.00
5200,0.00
5300,0.00
5400,0.00
5500,0.00
5600,0.00
5700,0.00
5800,0.00
5900,0.00
6000,0.00
6100,0.00
6200,0.00
6300,0.00
6400,0.00
6500,0.00
6600,0.00
6700,0.00
6800,0.00
6900,0.00
