Elevation,Area
0,615.64
100,310.18
200,234.62
300,251.37
400,247.07
500,287.43
600,286.78
700,271.33
800,253.30
900,0.00
1000,227.75
1100,177.74
1200,154.98
1300,114.84
1400,75.77
1500,49.59
1600,30.70
1700,18.89
1800,9.45
1900,2.15
2000,0.86
2100,0.64
2200,0.00
2300,0.00
2400,0.00
2500,0.00
2600,0.00
2700,0.00
2800,0.00
2900,0.00
3000,0.00
3100,0.00
3200,0.00
3300,0.00
3400,0.00
3500,0.00
3600,0.00
3700,0.00
3800,0.00
3900,0.00
4000,0.00
4100,0.00
4200,0.00
4300,0.00
4400,0.00
4500,0.00
4600,0.00
4700,0.00
4800,0.00
4900,0.00
5000,0.00
5100,0.00
5200,0.00
5300,0.00
5400,0.00
5500,0.00
5600,0.00
5700,0.00
5800,0.00
5900,0.00
6000,0.00
6100,0.00
6200,0.00
6300,0.00
6400,0.00
6500,0.00
6600,0.00
6700,0.00
6800,0.00
6900,0.00
