Elevation,Area
400,2.79
500,21.47
600,21.47
700,24.26
800,21.89
900,0.00
1000,20.18
1100,25.97
1200,24.26
1300,27.48
1400,21.68
1500,19.75
1600,6.65
1700,4.94
1800,3.43
1900,1.93
2000,0.43
2100,0.00
2200,0.00
2300,0.00
2400,0.00
2500,0.00
2600,0.00
2700,0.00
2800,0.00
2900,0.00
3000,0.00
3100,0.00
3200,0.00
3300,0.00
3400,0.00
3500,0.00
3600,0.00
3700,0.00
3800,0.00
3900,0.00
4000,0.00
4100,0.00
4200,0.00
4300,0.00
4400,0.00
4500,0.00
4600,0.00
4700,0.00
4800,0.00
4900,0.00
5000,0.00
5100,0.00
5200,0.00
5300,0.00
5400,0.00
5500,0.00
5600,0.00
5700,0.00
5800,0.00
5900,0.00
6000,0.00
6100,0.00
6200,0.00
6300,0.00
6400,0.00
6500,0.00
6600,0.00
6700,0.00
6800,0.00
6900,0.00
