Elevation,Area
0,3867.71
100,1651.15
200,1234.93
300,1018.13
400,874.73
500,697.43
600,595.46
700,511.96
800,391.54
900,0.00
1000,183.75
1100,129.87
1200,123.86
1300,156.27
1400,211.01
1500,176.45
1600,12.66
1700,3.43
1800,0.43
1900,0.00
2000,0.00
2100,0.00
2200,0.00
2300,0.00
2400,0.00
2500,0.00
2600,0.00
2700,0.00
2800,0.00
2900,0.00
3000,0.00
3100,0.00
3200,0.00
3300,0.00
3400,0.00
3500,0.00
3600,0.00
3700,0.00
3800,0.00
3900,0.00
4000,0.00
4100,0.00
4200,0.00
4300,0.00
4400,0.00
4500,0.00
4600,0.00
4700,0.00
4800,0.00
4900,0.00
5000,0.00
5100,0.00
5200,0.00
5300,0.00
5400,0.00
5500,0.00
5600,0.00
5700,0.00
5800,0.00
5900,0.00
6000,0.00
6100,0.00
6200,0.00
6300,0.00
6400,0.00
6500,0.00
6600,0.00
6700,0.00
6800,0.00
6900,0.00
