Elevation,Area
0,5174.56
100,2172.98
200,1661.90
300,1291.17
400,983.13
500,739.07
600,471.18
700,267.68
800,120.85
900,0.00
1000,23.18
1100,7.08
1200,0.00
1300,0.00
1400,0.00
1500,0.00
1600,0.00
1700,0.00
1800,0.00
1900,0.00
2000,0.00
2100,0.00
2200,0.00
2300,0.00
2400,0.00
2500,0.00
2600,0.00
2700,0.00
2800,0.00
2900,0.00
3000,0.00
3100,0.00
3200,0.00
3300,0.00
3400,0.00
3500,0.00
3600,0.00
3700,0.00
3800,0.00
3900,0.00
4000,0.00
4100,0.00
4200,0.00
4300,0.00
4400,0.00
4500,0.00
4600,0.00
4700,0.00
4800,0.00
4900,0.00
5000,0.00
5100,0.00
5200,0.00
5300,0.00
5400,0.00
5500,0.00
5600,0.00
5700,0.00
5800,0.00
5900,0.00
6000,0.00
6100,0.00
6200,0.00
6300,0.00
6400,0.00
6500,0.00
6600,0.00
6700,0.00
6800,0.00
6900,0.00
