Year,SCA
2000-02-01,0.03
2000-03-01,1.19
2000-04-01,3.41
2000-05-01,5.00
2000-06-01,24.85
2000-07-01,20.63
2000-08-01,15.74
2000-09-01,7.42
2000-10-01,1.00
2000-11-01,0.92
2000-12-01,0.53
2001-01-01,0.33
2001-02-01,1.04
2001-03-01,3.74
2001-04-01,3.61
2001-05-01,10.86
2001-06-01,23.52
2001-07-01,26.68
2001-08-01,16.58
2001-09-01,5.86
2001-10-01,1.42
2001-11-01,2.67
2001-12-01,0.40
2002-01-01,0.19
2002-02-01,0.20
2002-03-01,1.22
2002-04-01,3.99
2002-05-01,14.10
2002-06-01,33.16
2002-07-01,29.13
2002-08-01,16.65
2002-09-01,6.41
2002-10-01,5.13
2002-11-01,1.61
2002-12-01,0.67
2003-01-01,0.66
2003-02-01,1.14
2003-03-01,0.89
2003-04-01,2.69
2003-05-01,10.79
2003-06-01,37.25
2003-07-01,29.62
2003-08-01,20.66
2003-09-01,7.42
2003-10-01,5.58
2003-11-01,2.21
2003-12-01,1.76
2004-01-01,1.12
2004-02-01,0.12
2004-03-01,1.85
2004-04-01,7.18
2004-05-01,9.71
2004-06-01,31.94
2004-07-01,38.87
2004-08-01,22.92
2004-09-01,10.98
2004-10-01,3.54
2004-11-01,1.22
2004-12-01,0.81
2005-01-01,1.03
2005-02-01,0.34
2005-03-01,3.61
2005-04-01,3.61
2005-05-01,29.11
2005-06-01,46.81
2005-07-01,32.53
2005-08-01,22.54
2005-09-01,10.09
2005-10-01,2.60
2005-11-01,1.56
2005-12-01,0.70
2006-01-01,0.73
2006-02-01,0.69
2006-03-01,4.09
2006-04-01,7.01
2006-05-01,12.58
2006-06-01,37.69
2006-07-01,40.25
2006-08-01,25.11
2006-09-01,7.64
2006-10-01,3.26
2006-11-01,1.64
2006-12-01,2.50
2007-01-01,1.43
2007-02-01,0.94
2007-03-01,2.53
2007-04-01,8.77
2007-05-01,18.00
2007-06-01,35.04
2007-07-01,33.87
2007-08-01,20.16
2007-09-01,9.81
2007-10-01,5.46
2007-11-01,2.47
2007-12-01,1.45
2008-01-01,0.18
2008-02-01,1.08
2008-03-01,0.85
2008-04-01,10.65
2008-05-01,25.45
2008-06-01,35.46
2008-07-01,32.55
2008-08-01,25.31
2008-09-01,13.63
2008-10-01,4.75
2008-11-01,1.97
2008-12-01,0.24
2009-01-01,0.90
2009-02-01,1.43
2009-03-01,4.69
2009-04-01,6.03
2009-05-01,27.96
2009-06-01,32.82
2009-07-01,29.13
2009-08-01,17.52
2009-09-01,11.47
2009-10-01,5.54
2009-11-01,3.21
2009-12-01,1.86
2010-01-01,1.39
2010-02-01,1.02
2010-03-01,1.29
2010-04-01,4.69
2010-05-01,22.91
2010-06-01,30.86
2010-07-01,37.93
2010-08-01,23.49
2010-09-01,6.39
2010-10-01,5.47
2010-11-01,2.74
2010-12-01,1.27
2011-01-01,0.77
2011-02-01,1.08
2011-03-01,5.71
2011-04-01,12.29
2011-05-01,22.86
2011-06-01,29.02
2011-07-01,31.35
2011-08-01,22.16
2011-09-01,5.96
2011-10-01,3.71
2011-11-01,3.46
2011-12-01,0.29
2012-01-01,1.40
2012-02-01,0.50
2012-03-01,1.74
2012-04-01,6.38
2012-05-01,23.84
2012-06-01,31.99
2012-07-01,26.75
2012-08-01,22.17
2012-09-01,8.10
2012-10-01,5.42
2012-11-01,1.31
2012-12-01,0.97
2013-01-01,0.11
2013-02-01,0.40
2013-03-01,1.17
2013-04-01,6.98
2013-05-01,21.28
2013-06-01,30.13
2013-07-01,34.88
2013-08-01,25.84
2013-09-01,12.28
2013-10-01,3.21
2013-11-01,2.12
2013-12-01,0.89
2014-01-01,1.18
2014-02-01,1.16
2014-03-01,4.18
2014-04-01,4.56
