Year,SCA
2000-02-01,0.18
2000-03-01,0.49
2000-04-01,0.42
2000-05-01,3.14
2000-06-01,9.16
2000-07-01,9.96
2000-08-01,6.07
2000-09-01,5.81
2000-10-01,2.49
2000-11-01,2.22
2000-12-01,0.99
2001-01-01,0.75
2001-02-01,0.50
2001-03-01,0.40
2001-04-01,0.84
2001-05-01,2.06
2001-06-01,9.26
2001-07-01,11.55
2001-08-01,8.30
2001-09-01,5.99
2001-10-01,2.42
2001-11-01,1.25
2001-12-01,0.77
2002-01-01,0.52
2002-02-01,0.48
2002-03-01,0.40
2002-04-01,2.50
2002-05-01,4.09
2002-06-01,13.60
2002-07-01,11.66
2002-08-01,9.54
2002-09-01,7.66
2002-10-01,4.84
2002-11-01,2.86
2002-12-01,1.66
2003-01-01,1.02
2003-02-01,0.73
2003-03-01,0.65
2003-04-01,1.55
2003-05-01,2.64
2003-06-01,11.23
2003-07-01,11.84
2003-08-01,9.54
2003-09-01,6.35
2003-10-01,3.86
2003-11-01,1.97
2003-12-01,1.30
2004-01-01,0.79
2004-02-01,0.60
2004-03-01,0.51
2004-04-01,1.80
2004-05-01,1.65
2004-06-01,10.38
2004-07-01,13.50
2004-08-01,7.07
2004-09-01,7.85
2004-10-01,3.15
2004-11-01,1.60
2004-12-01,1.00
2005-01-01,0.63
2005-02-01,0.56
2005-03-01,0.70
2005-04-01,1.16
2005-05-01,11.22
2005-06-01,23.57
2005-07-01,13.06
2005-08-01,14.25
2005-09-01,8.60
2005-10-01,3.39
2005-11-01,2.05
2005-12-01,1.64
2006-01-01,0.94
2006-02-01,0.66
2006-03-01,0.69
2006-04-01,0.91
2006-05-01,3.76
2006-06-01,12.66
2006-07-01,16.14
2006-08-01,11.74
2006-09-01,9.36
2006-10-01,4.55
2006-11-01,2.34
2006-12-01,1.41
2007-01-01,0.81
2007-02-01,0.66
2007-03-01,0.55
2007-04-01,1.85
2007-05-01,5.66
2007-06-01,16.23
2007-07-01,20.53
2007-08-01,14.93
2007-09-01,9.51
2007-10-01,5.23
2007-11-01,1.59
2007-12-01,2.12
2008-01-01,1.04
2008-02-01,0.67
2008-03-01,0.54
2008-04-01,2.12
2008-05-01,2.64
2008-06-01,12.86
2008-07-01,13.35
2008-08-01,14.31
2008-09-01,7.97
2008-10-01,2.51
2008-11-01,1.87
2008-12-01,0.90
2009-01-01,0.61
2009-02-01,0.55
2009-03-01,0.53
2009-04-01,0.74
2009-05-01,5.27
2009-06-01,7.46
2009-07-01,14.17
2009-08-01,11.02
2009-09-01,6.77
2009-10-01,2.46
2009-11-01,2.27
2009-12-01,1.87
2010-01-01,0.95
2010-02-01,0.67
2010-03-01,0.57
2010-04-01,1.34
2010-05-01,4.26
2010-06-01,14.39
2010-07-01,17.37
2010-08-01,13.71
2010-09-01,9.22
2010-10-01,3.58
2010-11-01,1.78
2010-12-01,1.37
2011-01-01,0.73
2011-02-01,0.60
2011-03-01,0.90
2011-04-01,1.44
2011-05-01,3.76
2011-06-01,12.28
2011-07-01,19.02
2011-08-01,12.76
2011-09-01,7.23
2011-10-01,3.98
2011-11-01,1.25
2011-12-01,0.84
2012-01-01,0.54
2012-02-01,0.55
2012-03-01,0.51
2012-04-01,0.92
2012-05-01,6.85
2012-06-01,11.24
2012-07-01,17.37
2012-08-01,9.83
2012-09-01,6.89
2012-10-01,3.37
2012-11-01,1.64
2012-12-01,0.99
2013-01-01,0.67
2013-02-01,0.62
2013-03-01,0.59
2013-04-01,0.78
2013-05-01,7.08
2013-06-01,11.20
2013-07-01,12.95
2013-08-01,12.99
2013-09-01,6.65
2013-10-01,2.61
2013-11-01,1.62
2013-12-01,0.84
2014-01-01,0.63
2014-02-01,0.53
2014-03-01,0.58
2014-04-01,2.05
2014-05-01,4.06
2014-06-01,15.57
2014-07-01,11.64
2014-08-01,8.16
2014-09-01,6.48
2014-10-01,2.91
2014-11-01,1.62
2014-12-01,0.97
2015-01-01,0.63
2015-02-01,0.53
2015-03-01,0.51
2015-04-01,0.67
2015-05-01,5.40
2015-06-01,14.08
2015-07-01,17.38
2015-08-01,12.17
2015-09-01,8.75
2015-10-01,3.87
2015-11-01,2.12
2015-12-01,1.03
2016-01-01,0.59
2016-02-01,0.51
2016-03-01,0.50
2016-04-01,1.31
2016-05-01,1.58
2016-06-01,6.48
2016-07-01,10.05
2016-08-01,10.46
2016-09-01,6.99
2016-10-01,2.28
2016-11-01,1.13
2016-12-01,0.72
2017-01-01,0.54
2017-02-01,0.44
2017-03-01,0.53
2017-04-01,0.89
2017-05-01,10.79
2017-06-01,18.76
2017-07-01,15.32
2017-08-01,10.04
2017-09-01,10.23
2017-10-01,3.79
2017-11-01,2.76
2017-12-01,1.69
2018-01-01,0.76
2018-02-01,0.60
2018-03-01,0.76
2018-04-01,1.86
2018-05-01,4.91
2018-06-01,13.91
2018-07-01,14.96
2018-08-01,8.11
2018-09-01,6.02
2018-10-01,3.87
2018-11-01,2.07
2018-12-01,1.11
2019-01-01,0.71
2019-02-01,0.55
2019-03-01,0.53
2019-04-01,0.86
2019-05-01,5.09
2019-06-01,18.08
2019-07-01,17.53
2019-08-01,12.17
2019-09-01,8.23
2019-10-01,3.51
2019-11-01,2.39
2019-12-01,1.33
2020-01-01,0.73
2020-02-01,0.73
2020-03-01,0.55
2020-04-01,1.10
2020-05-01,4.79
2020-06-01,14.67
2020-07-01,21.30
2020-08-01,12.23
2020-09-01,9.52
2020-10-01,2.97
2020-11-01,2.15
2020-12-01,1.66
2021-01-01,0.97
2021-02-01,0.62
2021-03-01,0.54
2021-04-01,0.79
2021-05-01,3.23
2021-06-01,13.35
2021-07-01,12.19
2021-08-01,8.88
2021-09-01,5.75
2021-10-01,2.74
2021-11-01,1.51
2021-12-01,0.71
2022-01-01,0.59
2022-02-01,0.46
2022-03-01,0.77
2022-04-01,2.24
2022-05-01,9.54
2022-06-01,16.29
2022-07-01,22.06
2022-08-01,11.77
2022-09-01,8.40
2022-10-01,3.60
2022-11-01,1.88
2022-12-01,0.79
2023-01-01,0.57
2023-02-01,0.46
2023-03-01,0.56
2023-04-01,0.99
2023-05-01,6.96
2023-06-01,17.68
2023-07-01,21.56
2023-08-01,14.16
2023-09-01,8.02
2023-10-01,4.04
2023-11-01,2.06
2023-12-01,1.65
