Year,Month,SCA,CCA
2000,1,0,
2000,2,0.11,0.51
2000,3,0.15,2.51
2000,4,4.42,28.62
2000,5,7.65,22.00
2000,6,6.67,48.85
2000,7,45.62,18.68
2000,8,28.67,20.07
2000,9,23.27,24.74
2000,10,9.59,5.31
2000,11,3.11,17.31
2000,12,0.18,1.47
2001,1,0.22,1.36
2001,2,0.18,2.53
2001,3,2.28,5.71
2001,4,5.24,3.53
2001,5,6.25,20.19
2001,6,11.33,7.88
2001,7,9.44,43.61
2001,8,19.03,31.83
2001,9,24.74,12.94
2001,10,11.25,8.21
2001,11,3.16,4.05
2001,12,0.75,4.25
2002,1,0.26,0.86
2002,2,0.11,1.32
2002,3,0.05,0.10
2002,4,2.43,2.58
2002,5,10.91,47.85
2002,6,41.68,33.93
2002,7,46.72,15.89
2002,8,44.01,24.27
2002,9,35.23,12.31
2002,10,24.93,4.15
2002,11,13.82,0.95
2002,12,4.31,0.41
2003,1,0.73,0.15
2003,2,0.37,0.30
2003,3,0.32,0.69
2003,4,0.24,1.13
2003,5,11.70,12.09
2003,6,24.40,26.96
2003,7,32.82,17.00
2003,8,21.60,6.17
2003,9,16.59,3.16
2003,10,8.93,1.57
2003,11,2.10,0.53
2003,12,0.34,0.04
2004,1,0.41,0.44
2004,2,1.08,0.12
2004,3,0.36,0.54
2004,4,1.70,4.13
2004,5,2.53,4.23
2004,6,5.07,5.04
2004,7,10.08,20.84
2004,8,16.52,11.66
2004,9,3.63,1.38
2004,10,0.35,1.02
2004,11,4.62,4.57
2004,12,0.31,0.17
2005,1,0.18,0.02
2005,2,0.27,0.57
2005,3,1.28,1.29
2005,4,5.09,11.91
2005,5,30.96,18.26
2005,6,33.36,38.98
2005,7,28.32,11.38
2005,8,24.54,18.17
2005,9,28.95,8.14
2005,10,17.86,0.52
2005,11,9.60,0.81
2005,12,1.82,0.17
2006,1,0.54,0.10
2006,2,0.74,0.10
2006,3,0.26,0.21
2006,4,0.45,0.83
2006,5,4.37,7.47
2006,6,22.56,14.54
2006,7,23.59,27.41
2006,8,22.51,7.18
2006,9,17.80,2.21
2006,10,8.75,2.09
2006,11,2.61,0.07
2006,12,0.43,0.06
2007,1,0.52,0.28
2007,2,0.30,0.10
2007,3,0.14,1.12
2007,4,0.49,5.06
2007,5,8.21,13.98
2007,6,32.28,39.70
2007,7,38.76,12.17
2007,8,33.86,6.13
2007,9,24.38,3.00
2007,10,14.30,0.37
2007,11,3.78,0.56
2007,12,0.48,0.63
2008,1,0.24,0.00
2008,2,0.38,0.02
2008,3,0.27,0.25
2008,4,0.21,5.75
2008,5,1.18,22.95
2008,6,35.68,20.71
2008,7,32.53,20.47
2008,8,38.29,11.79
2008,9,26.08,17.54
2008,10,14.15,0.60
2008,11,4.28,0.88
2008,12,0.46,0.04
2009,1,0.62,0.33
2009,2,0.62,0.26
2009,3,1.15,0.14
2009,4,0.33,1.10
2009,5,3.01,14.34
