Year,SCA
2000-02-01,0.25
2000-03-01,0.07
2000-04-01,0.19
2000-05-01,1.81
2000-06-01,6.91
2000-07-01,5.12
2000-08-01,1.26
2000-09-01,0.70
2000-10-01,0.10
2000-11-01,0.09
2000-12-01,0.03
2001-01-01,0.13
2001-02-01,0.02
2001-03-01,0.02
2001-04-01,0.32
2001-05-01,2.08
2001-06-01,5.06
2001-07-01,3.34
2001-08-01,1.20
2001-09-01,0.33
2001-10-01,0.02
2001-11-01,0.08
2001-12-01,0.00
2002-01-01,0.01
2002-02-01,0.02
2002-03-01,0.20
2002-04-01,0.42
2002-05-01,2.66
2002-06-01,9.21
2002-07-01,7.87
2002-08-01,2.95
2002-09-01,3.03
2002-10-01,1.54
2002-11-01,0.40
2002-12-01,0.20
2003-01-01,0.11
2003-02-01,0.15
2003-03-01,0.11
2003-04-01,0.88
2003-05-01,3.91
2003-06-01,11.11
2003-07-01,7.15
2003-08-01,3.45
2003-09-01,1.63
2003-10-01,0.87
2003-11-01,0.38
2003-12-01,0.42
2004-01-01,0.05
2004-02-01,0.07
2004-03-01,0.30
2004-04-01,1.69
2004-05-01,3.06
2004-06-01,11.68
2004-07-01,9.43
2004-08-01,2.98
2004-09-01,3.83
2004-10-01,0.51
2004-11-01,0.31
2004-12-01,0.18
2005-01-01,0.22
2005-02-01,0.04
2005-03-01,0.69
2005-04-01,1.16
2005-05-01,9.88
2005-06-01,19.11
2005-07-01,11.76
2005-08-01,6.76
2005-09-01,2.17
2005-10-01,1.02
2005-11-01,0.56
2005-12-01,0.10
2006-01-01,0.19
2006-02-01,0.07
2006-03-01,0.60
2006-04-01,1.13
2006-05-01,4.08
2006-06-01,10.34
2006-07-01,13.62
2006-08-01,4.43
2006-09-01,2.73
2006-10-01,1.09
2006-11-01,0.45
2006-12-01,0.60
2007-01-01,0.06
2007-02-01,0.29
2007-03-01,0.24
2007-04-01,1.79
2007-05-01,7.07
2007-06-01,18.49
2007-07-01,12.71
2007-08-01,5.25
2007-09-01,1.38
2007-10-01,0.91
2007-11-01,0.31
2007-12-01,0.12
2008-01-01,0.09
2008-02-01,0.06
2008-03-01,0.10
2008-04-01,1.76
2008-05-01,6.33
2008-06-01,10.84
2008-07-01,9.01
