Year,SCA
2000-02-01,1.33
2000-03-01,8.54
2000-04-01,10.59
2000-05-01,16.20
2000-06-01,26.38
2000-07-01,29.43
2000-08-01,19.73
2000-09-01,17.48
2000-10-01,12.84
2000-11-01,9.56
2000-12-01,2.25
2001-01-01,6.29
2001-02-01,4.24
2001-03-01,10.31
2001-04-01,11.44
2001-05-01,18.88
2001-06-01,22.48
2001-07-01,27.75
2001-08-01,22.76
2001-09-01,16.22
2001-10-01,11.43
2001-11-01,7.35
2001-12-01,8.83
2002-01-01,8.12
2002-02-01,8.39
2002-03-01,9.73
2002-04-01,12.75
2002-05-01,21.26
2002-06-01,34.98
2002-07-01,31.13
2002-08-01,23.49
2002-09-01,15.60
2002-10-01,14.60
2002-11-01,12.20
2002-12-01,9.03
2003-01-01,8.98
2003-02-01,9.66
2003-03-01,9.85
2003-04-01,13.27
2003-05-01,18.15
2003-06-01,39.28
2003-07-01,36.18
2003-08-01,25.92
2003-09-01,17.62
2003-10-01,15.95
2003-11-01,12.61
2003-12-01,7.90
2004-01-01,9.05
2004-02-01,8.50
2004-03-01,10.07
2004-04-01,16.27
2004-05-01,18.98
2004-06-01,38.83
2004-07-01,39.98
2004-08-01,26.52
2004-09-01,24.62
2004-10-01,13.30
2004-11-01,10.78
2004-12-01,8.32
2005-01-01,8.63
2005-02-01,8.75
2005-03-01,11.10
2005-04-01,13.52
2005-05-01,34.99
2005-06-01,52.06
2005-07-01,41.12
2005-08-01,33.86
2005-09-01,25.45
2005-10-01,16.93
2005-11-01,12.50
2005-12-01,9.75
2006-01-01,8.72
2006-02-01,8.98
2006-03-01,10.72
2006-04-01,14.14
2006-05-01,20.99
2006-06-01,37.43
2006-07-01,46.81
2006-08-01,32.99
2006-09-01,25.78
2006-10-01,15.89
2006-11-01,11.79
2006-12-01,7.57
2007-01-01,9.13
2007-02-01,8.74
2007-03-01,9.64
2007-04-01,15.21
2007-05-01,30.29
2007-06-01,47.65
2007-07-01,42.27
2007-08-01,36.63
2007-09-01,29.89
2007-10-01,21.00
2007-11-01,13.13
2007-12-01,8.95
2008-01-01,8.40
2008-02-01,8.76
2008-03-01,9.97
2008-04-01,19.27
2008-05-01,30.37
2008-06-01,41.25
2008-07-01,37.44
2008-08-01,34.65
2008-09-01,27.81
2008-10-01,16.53
2008-11-01,10.47
2008-12-01,8.20
2009-01-01,8.18
2009-02-01,8.43
2009-03-01,11.18
2009-04-01,13.34
2009-05-01,31.60
2009-06-01,39.01
2009-07-01,35.62
2009-08-01,31.05
2009-09-01,24.43
2009-10-01,18.13
2009-11-01,14.60
2009-12-01,11.42
2010-01-01,8.86
2010-02-01,9.73
2010-03-01,9.98
2010-04-01,13.61
2010-05-01,29.13
2010-06-01,33.49
2010-07-01,46.30
2010-08-01,35.41
2010-09-01,20.70
2010-10-01,17.37
2010-11-01,11.81
2010-12-01,9.36
2011-01-01,8.78
2011-02-01,8.62
2011-03-01,10.25
2011-04-01,16.44
2011-05-01,26.95
2011-06-01,37.25
2011-07-01,43.35
2011-08-01,33.06
2011-09-01,27.47
2011-10-01,16.76
2011-11-01,11.61
2011-12-01,9.22
2012-01-01,8.46
2012-02-01,8.68
2012-03-01,10.35
2012-04-01,13.15
2012-05-01,30.71
2012-06-01,42.39
2012-07-01,45.46
2012-08-01,32.78
2012-09-01,23.62
2012-10-01,17.94
