Year,SCA
2000-02-01,16.92
2000-03-01,29.40
2000-04-01,34.04
2000-05-01,40.51
2000-06-01,62.68
2000-07-01,61.41
2000-08-01,57.22
2000-09-01,54.12
2000-10-01,43.20
2000-11-01,31.50
2000-12-01,3.99
2001-01-01,3.03
2001-02-01,8.44
2001-03-01,40.15
2001-04-01,36.90
2001-05-01,46.58
2001-06-01,57.46
2001-07-01,64.83
2001-08-01,57.48
2001-09-01,49.83
2001-10-01,42.23
2001-11-01,6.54
2001-12-01,33.47
2002-01-01,32.06
2002-02-01,32.10
2002-03-01,27.92
2002-04-01,38.20
2002-05-01,54.59
2002-06-01,67.53
2002-07-01,66.81
2002-08-01,54.16
2002-09-01,44.14
2002-10-01,43.32
2002-11-01,34.84
2002-12-01,33.29
2003-01-01,24.75
2003-02-01,33.57
2003-03-01,35.06
2003-04-01,35.77
2003-05-01,43.63
2003-06-01,69.09
2003-07-01,61.58
2003-08-01,60.01
2003-09-01,45.73
2003-10-01,46.18
2003-11-01,41.35
2003-12-01,30.65
2004-01-01,27.16
2004-02-01,32.29
2004-03-01,33.75
2004-04-01,38.99
2004-05-01,42.63
2004-06-01,60.87
2004-07-01,71.48
2004-08-01,60.62
2004-09-01,50.19
2004-10-01,41.75
2004-11-01,37.67
2004-12-01,32.23
2005-01-01,27.24
2005-02-01,31.93
2005-03-01,34.58
2005-04-01,40.04
2005-05-01,60.91
2005-06-01,74.35
2005-07-01,68.22
2005-08-01,63.07
2005-09-01,49.87
2005-10-01,41.36
2005-11-01,37.74
2005-12-01,33.08
2006-01-01,32.40
2006-02-01,32.69
2006-03-01,35.64
2006-04-01,41.35
2006-05-01,45.04
2006-06-01,67.23
2006-07-01,67.78
2006-08-01,60.29
2006-09-01,49.11
2006-10-01,40.66
2006-11-01,36.58
2006-12-01,18.73
2007-01-01,32.91
2007-02-01,32.82
2007-03-01,34.70
2007-04-01,40.81
2007-05-01,54.72
2007-06-01,64.48
2007-07-01,67.79
2007-08-01,60.22
2007-09-01,57.53
2007-10-01,46.28
2007-11-01,40.93
2007-12-01,33.33
2008-01-01,32.15
2008-02-01,28.32
2008-03-01,33.16
2008-04-01,46.18
2008-05-01,62.14
2008-06-01,67.98
2008-07-01,67.08
2008-08-01,61.92
2008-09-01,57.84
2008-10-01,39.66
2008-11-01,36.86
2008-12-01,32.78
2009-01-01,32.87
2009-02-01,31.63
2009-03-01,37.41
2009-04-01,36.76
2009-05-01,59.66
2009-06-01,69.53
2009-07-01,67.41
2009-08-01,58.47
2009-09-01,55.65
2009-10-01,48.35
2009-11-01,42.70
2009-12-01,38.88
2010-01-01,30.85
2010-02-01,35.99
2010-03-01,36.55
2010-04-01,40.73
2010-05-01,55.24
2010-06-01,65.41
2010-07-01,70.71
2010-08-01,63.81
2010-09-01,47.82
2010-10-01,41.29
2010-11-01,37.61
2010-12-01,25.42
2011-01-01,33.37
2011-02-01,33.02
2011-03-01,34.93
2011-04-01,45.95
2011-05-01,54.27
2011-06-01,61.33
2011-07-01,67.13
2011-08-01,60.95
2011-09-01,52.58
2011-10-01,42.62
2011-11-01,37.42
2011-12-01,33.49
2012-01-01,32.76
2012-02-01,33.36
2012-03-01,34.04
2012-04-01,42.75
2012-05-01,61.71
2012-06-01,63.34
2012-07-01,62.01
2012-08-01,66.43
2012-09-01,54.50
2012-10-01,47.14
2012-11-01,39.54
2012-12-01,35.73
2013-01-01,33.01
2013-02-01,33.34
2013-03-01,34.21
2013-04-01,37.82
2013-05-01,53.75
2013-06-01,62.35
2013-07-01,68.48
2013-08-01,65.71
2013-09-01,59.08
2013-10-01,41.03
2013-11-01,42.97
2013-12-01,30.66
2014-01-01,18.39
2014-02-01,33.40
2014-03-01,35.86
2014-04-01,40.33
2014-05-01,58.17
2014-06-01,64.59
2014-07-01,68.09
2014-08-01,55.38
2014-09-01,46.53
2014-10-01,42.20
2014-11-01,44.81
2014-12-01,32.81
2015-01-01,32.89
2015-02-01,32.36
2015-03-01,35.42
2015-04-01,38.70
2015-05-01,50.02
2015-06-01,59.77
2015-07-01,64.88
2015-08-01,65.17
2015-09-01,56.69
2015-10-01,46.16
2015-11-01,37.31
2015-12-01,35.82
2016-01-01,33.09
2016-02-01,33.06
2016-03-01,33.68
2016-04-01,40.55
2016-05-01,40.01
2016-06-01,48.88
2016-07-01,51.97
2016-08-01,52.41
2016-09-01,43.02
2016-10-01,40.67
2016-11-01,33.76
2016-12-01,12.57
2017-01-01,18.71
2017-02-01,32.13
2017-03-01,33.10
2017-04-01,35.30
2017-05-01,44.78
2017-06-01,71.45
2017-07-01,62.52
2017-08-01,55.46
2017-09-01,48.33
2017-10-01,42.38
2017-11-01,37.96
2017-12-01,33.53
2018-01-01,23.93
2018-02-01,31.39
2018-03-01,39.33
2018-04-01,47.95
2018-05-01,47.28
2018-06-01,67.41
2018-07-01,72.21
2018-08-01,59.19
2018-09-01,48.80
2018-10-01,43.16
2018-11-01,37.11
2018-12-01,31.66
2019-01-01,34.72
2019-02-01,33.09
2019-03-01,34.17
2019-04-01,37.85
2019-05-01,50.89
2019-06-01,65.06
2019-07-01,66.28
2019-08-01,60.46
2019-09-01,57.33
2019-10-01,44.89
2019-11-01,40.97
2019-12-01,31.65
