Year,SCA
2000-02-01,3.14
2000-03-01,8.96
2000-04-01,12.86
2000-05-01,15.90
2000-06-01,46.00
2000-07-01,40.83
2000-08-01,32.81
2000-09-01,29.20
2000-10-01,16.18
2000-11-01,11.86
2000-12-01,2.54
2001-01-01,2.24
2001-02-01,2.23
2001-03-01,10.32
2001-04-01,13.55
2001-05-01,24.18
2001-06-01,44.06
2001-07-01,39.26
2001-08-01,33.92
2001-09-01,24.64
2001-10-01,16.93
2001-11-01,2.98
2001-12-01,8.02
2002-01-01,8.72
2002-02-01,8.87
2002-03-01,10.59
2002-04-01,15.12
2002-05-01,19.92
2002-06-01,43.33
2002-07-01,42.97
2002-08-01,32.80
2002-09-01,20.12
2002-10-01,20.73
2002-11-01,14.32
2002-12-01,9.91
2003-01-01,8.47
2003-02-01,10.34
2003-03-01,10.95
2003-04-01,12.63
2003-05-01,19.70
2003-06-01,44.31
2003-07-01,44.85
2003-08-01,33.88
2003-09-01,20.77
2003-10-01,20.17
2003-11-01,15.82
2003-12-01,5.65
2004-01-01,10.30
2004-02-01,8.71
2004-03-01,9.90
2004-04-01,16.90
2004-05-01,17.87
2004-06-01,45.60
2004-07-01,51.26
2004-08-01,32.22
2004-09-01,30.41
2004-10-01,14.13
2004-11-01,11.42
2004-12-01,9.10
2005-01-01,7.42
2005-02-01,8.13
2005-03-01,11.00
2005-04-01,13.28
2005-05-01,40.98
2005-06-01,58.59
2005-07-01,46.56
2005-08-01,41.91
2005-09-01,29.40
2005-10-01,19.19
2005-11-01,13.80
2005-12-01,9.68
2006-01-01,8.94
2006-02-01,8.65
2006-03-01,11.28
2006-04-01,13.80
2006-05-01,24.42
2006-06-01,40.32
2006-07-01,50.58
2006-08-01,39.65
2006-09-01,27.39
2006-10-01,18.28
2006-11-01,11.44
2006-12-01,6.98
2007-01-01,9.21
2007-02-01,8.90
2007-03-01,12.15
2007-04-01,18.64
2007-05-01,29.68
2007-06-01,54.35
2007-07-01,47.06
2007-08-01,39.60
2007-09-01,30.00
2007-10-01,25.49
2007-11-01,13.83
2007-12-01,11.22
2008-01-01,8.40
2008-02-01,8.95
2008-03-01,9.33
2008-04-01,18.65
2008-05-01,35.15
2008-06-01,44.92
2008-07-01,42.20
2008-08-01,49.57
2008-09-01,30.66
2008-10-01,18.01
2008-11-01,10.22
2008-12-01,8.57
2009-01-01,9.58
2009-02-01,8.70
2009-03-01,14.64
2009-04-01,14.08
2009-05-01,40.21
2009-06-01,44.22
2009-07-01,37.85
2009-08-01,35.82
2009-09-01,30.02
2009-10-01,25.28
2009-11-01,19.82
2009-12-01,14.91
2010-01-01,7.94
2010-02-01,9.73
2010-03-01,10.01
2010-04-01,14.44
2010-05-01,32.31
2010-06-01,39.72
2010-07-01,53.77
2010-08-01,44.27
2010-09-01,27.74
2010-10-01,24.60
2010-11-01,13.71
2010-12-01,9.20
2011-01-01,9.26
2011-02-01,8.74
2011-03-01,12.79
2011-04-01,19.46
2011-05-01,32.80
2011-06-01,40.97
2011-07-01,46.34
2011-08-01,39.97
2011-09-01,28.68
2011-10-01,20.32
2011-11-01,11.83
2011-12-01,9.13
2012-01-01,8.56
2012-02-01,9.25
2012-03-01,9.44
2012-04-01,12.77
2012-05-01,41.25
2012-06-01,48.17
2012-07-01,52.52
2012-08-01,42.51
2012-09-01,28.93
2012-10-01,23.45
2012-11-01,13.54
2012-12-01,11.54
2013-01-01,8.31
2013-02-01,8.87
2013-03-01,9.56
2013-04-01,14.93
2013-05-01,28.53
2013-06-01,46.16
2013-07-01,42.59
2013-08-01,39.59
2013-09-01,27.33
2013-10-01,19.42
2013-11-01,13.36
2013-12-01,7.29
2014-01-01,7.17
2014-02-01,9.11
2014-03-01,11.61
2014-04-01,14.18
2014-05-01,28.74
2014-06-01,43.87
2014-07-01,45.88
2014-08-01,27.61
2014-09-01,22.68
2014-10-01,18.89
2014-11-01,15.65
2014-12-01,9.47
2015-01-01,8.46
2015-02-01,8.47
2015-03-01,12.21
2015-04-01,14.36
2015-05-01,28.42
2015-06-01,47.03
2015-07-01,45.13
2015-08-01,43.17
2015-09-01,30.03
2015-10-01,19.51
2015-11-01,11.64
2015-12-01,9.53
2016-01-01,8.22
2016-02-01,8.67
2016-03-01,9.81
2016-04-01,13.56
2016-05-01,14.28
2016-06-01,25.66
2016-07-01,30.93
2016-08-01,27.07
2016-09-01,18.13
2016-10-01,15.98
2016-11-01,9.14
2016-12-01,6.40
2017-01-01,6.94
2017-02-01,9.25
2017-03-01,8.86
2017-04-01,12.57
2017-05-01,23.85
2017-06-01,58.37
2017-07-01,46.99
2017-08-01,35.73
2017-09-01,29.89
2017-10-01,17.88
2017-11-01,11.50
2017-12-01,9.13
2018-01-01,8.20
2018-02-01,8.76
2018-03-01,13.92
2018-04-01,27.07
2018-05-01,27.42
2018-06-01,42.56
2018-07-01,45.85
2018-08-01,37.60
2018-09-01,25.32
2018-10-01,19.71
2018-11-01,11.86
2018-12-01,9.10
2019-01-01,8.49
2019-02-01,9.46
2019-03-01,8.89
2019-04-01,13.76
2019-05-01,27.23
2019-06-01,43.78
2019-07-01,47.46
2019-08-01,30.10
2019-09-01,30.48
2019-10-01,17.49
