Year,SCA
2000-02-01,10.52
2000-03-01,16.54
2000-04-01,17.78
2000-05-01,20.47
2000-06-01,31.55
2000-07-01,39.71
2000-08-01,18.04
2000-09-01,14.14
2000-10-01,13.45
2000-11-01,13.28
2000-12-01,10.10
2001-01-01,8.35
2001-02-01,11.50
2001-03-01,16.65
2001-04-01,19.10
2001-05-01,19.68
2001-06-01,25.35
2001-07-01,28.36
2001-08-01,21.03
2001-09-01,16.68
2001-10-01,15.07
2001-11-01,10.11
2001-12-01,15.00
2002-01-01,16.35
2002-02-01,17.05
2002-03-01,14.90
2002-04-01,17.81
2002-05-01,29.04
2002-06-01,45.86
2002-07-01,53.81
2002-08-01,29.01
2002-09-01,20.09
2002-10-01,15.08
2002-11-01,14.89
2002-12-01,16.13
2003-01-01,17.29
2003-02-01,17.36
2003-03-01,19.17
2003-04-01,21.26
2003-05-01,24.38
2003-06-01,47.46
2003-07-01,34.90
2003-08-01,24.48
2003-09-01,18.77
2003-10-01,16.33
2003-11-01,16.92
2003-12-01,15.26
2004-01-01,16.99
2004-02-01,18.85
2004-03-01,19.53
2004-04-01,21.19
2004-05-01,25.26
2004-06-01,31.29
2004-07-01,38.11
2004-08-01,28.40
2004-09-01,19.56
2004-10-01,16.87
2004-11-01,16.50
2004-12-01,16.71
2005-01-01,17.10
2005-02-01,18.61
2005-03-01,19.03
2005-04-01,22.05
2005-05-01,29.48
2005-06-01,56.88
2005-07-01,44.34
2005-08-01,27.48
2005-09-01,23.56
2005-10-01,21.69
2005-11-01,20.82
2005-12-01,16.61
2006-01-01,17.13
2006-02-01,18.64
2006-03-01,19.46
2006-04-01,22.40
2006-05-01,24.25
2006-06-01,53.90
2006-07-01,37.91
2006-08-01,27.92
2006-09-01,23.55
2006-10-01,21.43
2006-11-01,20.70
2006-12-01,11.91
2007-01-01,16.54
2007-02-01,18.60
2007-03-01,19.34
2007-04-01,22.84
2007-05-01,28.57
2007-06-01,52.04
2007-07-01,56.80
2007-08-01,32.22
2007-09-01,21.47
2007-10-01,21.06
2007-11-01,20.48
2007-12-01,15.55
2008-01-01,17.56
2008-02-01,18.67
2008-03-01,19.27
2008-04-01,23.22
2008-05-01,28.47
2008-06-01,37.42
2008-07-01,64.60
2008-08-01,71.82
2008-09-01,25.63
2008-10-01,21.24
2008-11-01,20.87
2008-12-01,17.02
2009-01-01,17.73
2009-02-01,18.39
2009-03-01,19.87
2009-04-01,21.45
2009-05-01,32.06
2009-06-01,45.03
2009-07-01,36.65
2009-08-01,28.12
2009-09-01,24.14
2009-10-01,21.73
2009-11-01,17.07
2009-12-01,15.81
2010-01-01,14.92
2010-02-01,18.08
2010-03-01,19.73
2010-04-01,20.77
2010-05-01,25.98
2010-06-01,34.54
2010-07-01,44.28
2010-08-01,34.91
2010-09-01,22.48
2010-10-01,21.08
2010-11-01,21.03
2010-12-01,15.92
2011-01-01,17.12
2011-02-01,18.72
2011-03-01,18.42
2011-04-01,22.28
2011-05-01,28.49
2011-06-01,33.07
2011-07-01,65.77
2011-08-01,66.29
2011-09-01,23.99
2011-10-01,21.87
2011-11-01,21.07
2011-12-01,17.06
2012-01-01,17.83
2012-02-01,18.45
2012-03-01,20.39
2012-04-01,21.34
2012-05-01,29.54
2012-06-01,48.80
2012-07-01,60.23
2012-08-01,28.75
2012-09-01,20.98
2012-10-01,21.81
2012-11-01,20.71
2012-12-01,16.20
2013-01-01,17.56
2013-02-01,18.28
2013-03-01,19.24
2013-04-01,21.62
