Year,SCA
2000-02-01,0.02
2000-03-01,1.44
2000-04-01,7.70
2000-05-01,7.15
2000-06-01,26.41
2000-07-01,25.30
2000-08-01,21.14
2000-09-01,16.02
2000-10-01,3.34
2000-11-01,1.31
2000-12-01,0.24
2001-01-01,1.01
2001-02-01,1.61
2001-03-01,3.01
2001-04-01,5.15
2001-05-01,12.74
2001-06-01,35.56
2001-07-01,37.27
2001-08-01,19.12
2001-09-01,5.11
2001-10-01,1.94
2001-11-01,1.96
2001-12-01,0.18
2002-01-01,0.71
2002-02-01,0.24
2002-03-01,1.39
2002-04-01,7.19
2002-05-01,25.09
2002-06-01,39.24
2002-07-01,24.08
2002-08-01,10.77
2002-09-01,3.95
2002-10-01,4.79
2002-11-01,2.03
2002-12-01,1.08
2003-01-01,2.58
2003-02-01,1.51
2003-03-01,1.43
2003-04-01,2.05
2003-05-01,11.34
2003-06-01,30.95
2003-07-01,21.87
2003-08-01,15.07
2003-09-01,6.45
2003-10-01,4.23
2003-11-01,2.83
2003-12-01,1.85
2004-01-01,2.02
2004-02-01,0.98
2004-03-01,2.28
2004-04-01,10.22
2004-05-01,8.13
2004-06-01,28.49
2004-07-01,36.77
2004-08-01,18.27
2004-09-01,13.34
2004-10-01,2.16
2004-11-01,0.53
2004-12-01,1.19
2005-01-01,1.43
2005-02-01,0.50
2005-03-01,3.67
2005-04-01,6.03
2005-05-01,25.55
2005-06-01,46.31
2005-07-01,21.14
2005-08-01,23.30
2005-09-01,6.90
2005-10-01,1.26
2005-11-01,0.91
2005-12-01,0.75
2006-01-01,1.06
2006-02-01,1.46
2006-03-01,5.65
2006-04-01,9.21
2006-05-01,13.90
2006-06-01,30.54
2006-07-01,30.92
2006-08-01,15.37
2006-09-01,8.09
2006-10-01,5.31
2006-11-01,1.53
2006-12-01,1.49
2007-01-01,0.87
2007-02-01,1.53
2007-03-01,2.37
2007-04-01,11.44
2007-05-01,16.97
2007-06-01,26.39
2007-07-01,33.25
2007-08-01,22.93
2007-09-01,4.81
2007-10-01,6.11
2007-11-01,2.77
2007-12-01,1.35
2008-01-01,0.84
2008-02-01,0.70
2008-03-01,3.11
2008-04-01,12.85
2008-05-01,25.86
2008-06-01,27.02
2008-07-01,30.17
2008-08-01,27.99
2008-09-01,7.67
2008-10-01,5.66
2008-11-01,1.43
2008-12-01,0.36
