Year,SCA
2000-02-01,0.69
2000-03-01,0.39
2000-04-01,0.24
2000-05-01,2.10
2000-06-01,15.32
2000-07-01,27.44
2000-08-01,22.28
2000-09-01,20.64
2000-10-01,14.56
2000-11-01,8.13
2000-12-01,2.70
2001-01-01,0.83
2001-02-01,0.42
2001-03-01,0.27
2001-04-01,1.89
2001-05-01,5.01
2001-06-01,15.59
2001-07-01,24.18
2001-08-01,19.01
2001-09-01,16.99
2001-10-01,8.35
2001-11-01,3.78
2001-12-01,1.38
2002-01-01,0.51
2002-02-01,0.29
2002-03-01,0.33
2002-04-01,0.93
2002-05-01,6.29
2002-06-01,29.61
2002-07-01,29.16
2002-08-01,24.63
2002-09-01,22.07
2002-10-01,17.71
2002-11-01,11.63
2002-12-01,5.19
2003-01-01,1.62
2003-02-01,0.79
2003-03-01,0.55
2003-04-01,0.78
2003-05-01,2.76
2003-06-01,9.81
2003-07-01,21.71
2003-08-01,17.75
2003-09-01,13.59
2003-10-01,7.46
2003-11-01,2.30
2003-12-01,1.28
2004-01-01,0.55
2004-02-01,0.44
2004-03-01,0.36
2004-04-01,1.84
2004-05-01,1.55
2004-06-01,16.39
2004-07-01,23.77
2004-08-01,20.15
2004-09-01,18.68
2004-10-01,8.99
2004-11-01,5.22
2004-12-01,1.43
2005-01-01,0.66
2005-02-01,0.44
2005-03-01,0.45
2005-04-01,0.99
2005-05-01,14.00
2005-06-01,29.28
2005-07-01,30.43
2005-08-01,30.73
2005-09-01,24.22
2005-10-01,15.02
2005-11-01,7.74
2005-12-01,3.21
2006-01-01,1.09
2006-02-01,0.62
2006-03-01,0.57
2006-04-01,0.64
2006-05-01,1.39
2006-06-01,17.77
2006-07-01,30.51
2006-08-01,32.48
2006-09-01,25.04
2006-10-01,16.11
2006-11-01,6.72
2006-12-01,2.54
2007-01-01,1.00
2007-02-01,0.87
2007-03-01,0.52
2007-04-01,1.61
2007-05-01,1.68
2007-06-01,31.91
2007-07-01,38.69
2007-08-01,39.89
2007-09-01,30.12
2007-10-01,16.51
2007-11-01,4.73
2007-12-01,1.11
2008-01-01,0.45
2008-02-01,0.34
2008-03-01,0.33
2008-04-01,1.00
2008-05-01,2.10
2008-06-01,23.95
2008-07-01,23.68
2008-08-01,30.28
2008-09-01,23.26
2008-10-01,11.31
2008-11-01,4.29
2008-12-01,0.98
2009-01-01,0.44
2009-02-01,0.32
2009-03-01,0.25
2009-04-01,0.38
2009-05-01,1.98
2009-06-01,9.91
2009-07-01,24.45
2009-08-01,23.37
2009-09-01,18.43
2009-10-01,13.89
2009-11-01,7.00
2009-12-01,2.38
2010-01-01,0.85
2010-02-01,0.49
2010-03-01,0.37
2010-04-01,0.67
2010-05-01,3.38
2010-06-01,14.24
2010-07-01,36.37
2010-08-01,34.20
2010-09-01,26.71
2010-10-01,16.03
2010-11-01,5.65
2010-12-01,1.73
2011-01-01,0.59
2011-02-01,0.36
2011-03-01,0.60
2011-04-01,2.37
2011-05-01,3.30
2011-06-01,20.68
2011-07-01,34.53
2011-08-01,38.89
2011-09-01,31.32
2011-10-01,16.76
2011-11-01,7.64
2011-12-01,1.72
2012-01-01,0.45
2012-02-01,0.31
2012-03-01,0.30
2012-04-01,0.37
2012-05-01,1.85
2012-06-01,11.68
2012-07-01,26.30
2012-08-01,18.60
2012-09-01,8.60
2012-10-01,3.66
2012-11-01,1.26
2012-12-01,1.68
2013-01-01,0.46
2013-02-01,0.25
2013-03-01,0.26
2013-04-01,0.55
2013-05-01,1.68
2013-06-01,17.38
2013-07-01,25.87
2013-08-01,28.67
2013-09-01,20.03
2013-10-01,10.07
2013-11-01,3.82
2013-12-01,0.96
2014-01-01,0.39
2014-02-01,0.31
2014-03-01,0.42
2014-04-01,1.00
2014-05-01,3.24
2014-06-01,36.93
2014-07-01,33.35
2014-08-01,26.49
2014-09-01,19.78
2014-10-01,11.05
2014-11-01,4.11
2014-12-01,1.11
2015-01-01,0.51
2015-02-01,0.30
2015-03-01,0.35
2015-04-01,0.61
2015-05-01,2.57
2015-06-01,26.60
2015-07-01,30.96
2015-08-01,28.30
2015-09-01,21.57
2015-10-01,13.09
2015-11-01,5.24
2015-12-01,1.16
2016-01-01,0.43
2016-02-01,0.25
2016-03-01,0.21
2016-04-01,1.21
2016-05-01,1.52
2016-06-01,3.61
2016-07-01,12.89
2016-08-01,21.47
2016-09-01,9.78
2016-10-01,3.00
2016-11-01,0.96
2016-12-01,0.43
2017-01-01,0.20
2017-02-01,0.21
2017-03-01,0.48
2017-04-01,0.93
2017-05-01,3.39
2017-06-01,23.52
2017-07-01,29.15
2017-08-01,31.74
2017-09-01,27.65
2017-10-01,17.60
2017-11-01,7.07
2017-12-01,1.63
2018-01-01,0.43
2018-02-01,0.28
2018-03-01,0.64
2018-04-01,1.54
2018-05-01,2.39
2018-06-01,27.79
2018-07-01,22.74
2018-08-01,22.48
2018-09-01,14.34
2018-10-01,15.03
2018-11-01,4.30
2018-12-01,1.36
2019-01-01,0.62
2019-02-01,0.31
2019-03-01,0.22
2019-04-01,0.26
2019-05-01,1.89
2019-06-01,23.19
2019-07-01,36.33
2019-08-01,31.26
2019-09-01,21.67
2019-10-01,12.05
2019-11-01,3.96
2019-12-01,0.86
2020-01-01,0.41
2020-02-01,0.28
2020-03-01,0.17
2020-04-01,0.38
2020-05-01,1.86
2020-06-01,11.77
2020-07-01,34.60
2020-08-01,29.94
2020-09-01,21.83
2020-10-01,12.76
2020-11-01,3.20
2020-12-01,0.80
2021-01-01,0.37
2021-02-01,0.23
2021-03-01,0.22
2021-04-01,0.28
2021-05-01,3.35
2021-06-01,8.25
2021-07-01,19.61
2021-08-01,15.72
2021-09-01,20.13
2021-10-01,8.21
2021-11-01,1.33
2021-12-01,0.37
2022-01-01,0.21
2022-02-01,0.17
2022-03-01,0.35
2022-04-01,1.09
2022-05-01,8.16
2022-06-01,18.61
2022-07-01,38.27
2022-08-01,33.46
2022-09-01,25.24
2022-10-01,12.36
2022-11-01,3.95
2022-12-01,0.83
2023-01-01,0.29
2023-02-01,0.19
2023-03-01,0.14
2023-04-01,0.24
2023-05-01,3.34
2023-06-01,18.04
2023-07-01,26.65
2023-08-01,21.36
2023-09-01,21.87
2023-10-01,12.12
2023-11-01,7.10
2023-12-01,2.33
