Year,SCA
2000-02-01,2.28
2000-03-01,7.58
2000-04-01,13.37
2000-05-01,25.22
2000-06-01,32.57
2000-07-01,33.08
2000-08-01,22.16
2000-09-01,15.35
2000-10-01,12.00
2000-11-01,8.73
2000-12-01,8.47
2001-01-01,4.68
2001-02-01,5.29
2001-03-01,16.43
2001-04-01,17.40
2001-05-01,25.80
2001-06-01,12.85
2001-07-01,35.92
2001-08-01,37.90
2001-09-01,27.05
2001-10-01,13.25
2001-11-01,3.00
2001-12-01,5.97
2002-01-01,9.12
2002-02-01,10.32
2002-03-01,15.45
2002-04-01,16.04
2002-05-01,38.98
2002-06-01,53.64
2002-07-01,56.95
2002-08-01,42.07
2002-09-01,28.40
2002-10-01,17.53
2002-11-01,16.57
2002-12-01,10.19
2003-01-01,12.31
2003-02-01,14.26
2003-03-01,13.82
2003-04-01,21.28
2003-05-01,28.64
2003-06-01,67.41
2003-07-01,68.67
2003-08-01,46.81
2003-09-01,31.22
2003-10-01,21.77
2003-11-01,20.43
2003-12-01,13.92
2004-01-01,12.54
2004-02-01,14.39
2004-03-01,16.02
2004-04-01,26.78
2004-05-01,32.34
2004-06-01,55.96
2004-07-01,77.82
2004-08-01,46.40
2004-09-01,35.07
2004-10-01,22.83
2004-11-01,16.00
2004-12-01,13.56
2005-01-01,11.32
2005-02-01,11.08
2005-03-01,15.60
2005-04-01,23.98
2005-05-01,51.78
2005-06-01,73.87
2005-07-01,83.34
2005-08-01,54.30
2005-09-01,44.04
2005-10-01,27.58
2005-11-01,12.14
2005-12-01,11.80
2006-01-01,12.98
2006-02-01,11.74
2006-03-01,16.72
2006-04-01,27.31
2006-05-01,33.02
2006-06-01,59.37
2006-07-01,75.92
2006-08-01,57.98
2006-09-01,39.79
2006-10-01,26.80
2006-11-01,17.12
2006-12-01,7.20
2007-01-01,13.97
2007-02-01,13.06
2007-03-01,13.99
2007-04-01,24.28
2007-05-01,61.55
2007-06-01,67.56
2007-07-01,70.03
2007-08-01,57.82
2007-09-01,42.37
2007-10-01,25.34
2007-11-01,17.08
2007-12-01,9.51
2008-01-01,13.73
2008-02-01,10.66
2008-03-01,11.62
2008-04-01,34.33
2008-05-01,62.12
2008-06-01,73.31
2008-07-01,76.35
2008-08-01,53.82
2008-09-01,41.59
2008-10-01,21.49
2008-11-01,11.92
2008-12-01,14.00
2009-01-01,11.99
2009-02-01,9.33
2009-03-01,14.11
2009-04-01,24.11
2009-05-01,50.08
2009-06-01,71.20
2009-07-01,72.36
2009-08-01,60.47
2009-09-01,42.95
2009-10-01,27.08
2009-11-01,19.10
2009-12-01,15.60
2010-01-01,14.77
2010-02-01,15.73
2010-03-01,16.95
2010-04-01,23.29
2010-05-01,47.89
2010-06-01,54.30
2010-07-01,68.80
2010-08-01,56.47
2010-09-01,42.11
2010-10-01,24.09
2010-11-01,17.67
2010-12-01,17.52
2011-01-01,14.83
2011-02-01,13.26
2011-03-01,17.23
2011-04-01,25.80
2011-05-01,44.62
2011-06-01,63.57
2011-07-01,73.16
2011-08-01,49.06
2011-09-01,41.77
2011-10-01,19.78
2011-11-01,15.56
2011-12-01,14.27
2012-01-01,11.85
2012-02-01,13.38
2012-03-01,14.33
2012-04-01,28.59
2012-05-01,55.17
2012-06-01,79.43
2012-07-01,72.80
2012-08-01,59.89
2012-09-01,44.42
2012-10-01,27.48
2012-11-01,13.69
2012-12-01,11.11
2013-01-01,13.55
2013-02-01,11.46
2013-03-01,12.89
2013-04-01,16.48
2013-05-01,50.79
2013-06-01,68.08
2013-07-01,73.47
2013-08-01,60.78
2013-09-01,47.21
2013-10-01,20.92
2013-11-01,17.49
2013-12-01,12.76
2014-01-01,9.87
2014-02-01,12.78
2014-03-01,11.83
2014-04-01,25.46
2014-05-01,51.32
2014-06-01,63.05
2014-07-01,70.98
2014-08-01,48.09
2014-09-01,41.63
2014-10-01,26.62
2014-11-01,17.82
2014-12-01,13.23
2015-01-01,13.19
2015-02-01,11.80
2015-03-01,16.28
2015-04-01,25.51
2015-05-01,36.83
2015-06-01,66.18
2015-07-01,74.20
2015-08-01,61.34
2015-09-01,43.79
2015-10-01,24.67
2015-11-01,22.32
2015-12-01,13.63
2016-01-01,12.98
2016-02-01,11.57
2016-03-01,12.98
2016-04-01,19.38
2016-05-01,28.47
2016-06-01,33.56
2016-07-01,51.88
2016-08-01,53.10
2016-09-01,38.95
2016-10-01,20.90
2016-11-01,12.80
2016-12-01,8.00
2017-01-01,6.76
2017-02-01,10.24
2017-03-01,13.16
2017-04-01,20.28
2017-05-01,47.67
2017-06-01,69.42
2017-07-01,64.51
2017-08-01,58.21
2017-09-01,32.75
2017-10-01,24.12
2017-11-01,15.18
2017-12-01,15.64
2018-01-01,9.93
2018-02-01,11.33
2018-03-01,24.42
2018-04-01,37.08
2018-05-01,45.66
2018-06-01,65.04
2018-07-01,71.60
2018-08-01,61.34
2018-09-01,39.89
2018-10-01,24.34
2018-11-01,22.69
2018-12-01,12.48
2019-01-01,14.67
2019-02-01,12.97
2019-03-01,12.90
2019-04-01,26.58
2019-05-01,41.80
2019-06-01,62.50
2019-07-01,70.39
2019-08-01,61.18
2019-09-01,45.31
2019-10-01,24.02
2019-11-01,13.74
2019-12-01,12.09
2020-01-01,13.24
2020-02-01,11.61
2020-03-01,11.05
2020-04-01,22.26
2020-05-01,38.51
2020-06-01,75.85
2020-07-01,73.43
